                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.70755,                0.55543,                 1.1334,                0.59149,                0.60813,                0.58328,                0.25345,                 2.0886,                 1.5012,                 2.6296,              0.0010298,              0.0010298,              0.0010298
                    100,                 0.6966,                 0.5611,                 1.1299,                0.62298,                 0.5425,                0.56394,                0.24266,                 2.1237,                 1.6456,                 2.6857,              0.0010199,              0.0010199,              0.0010199
                    101,                0.69084,                  0.553,                 1.1269,                0.58362,                   0.57,                0.54786,                0.23975,                 2.1098,                 1.6161,                 2.6899,                0.00101,                0.00101,                0.00101
                    102,                0.68738,                0.55196,                  1.127,                0.60412,                 0.5375,                 0.5381,                 0.2376,                 2.1195,                 1.7091,                 2.6665,              0.0010001,              0.0010001,              0.0010001
                    103,                0.69899,                0.54929,                 1.1322,                0.63874,                0.56578,                0.55699,                0.24297,                 2.1117,                 1.5814,                 2.6836,              0.0009902,              0.0009902,              0.0009902
                    104,                0.70824,                0.55989,                 1.1363,                0.59723,                 0.5925,                  0.583,                0.25223,                 2.0357,                  1.595,                 2.5762,              0.0009803,              0.0009803,              0.0009803
                    105,                0.68929,                  0.551,                  1.129,                0.61883,                0.55199,                0.56485,                0.25494,                 2.0681,                 1.6289,                 2.5659,              0.0009704,              0.0009704,              0.0009704
                    106,                0.67567,                0.53562,                 1.1169,                0.59963,                 0.6103,                0.58268,                0.25834,                 2.0834,                  1.573,                 2.6366,              0.0009605,              0.0009605,              0.0009605
                    107,                0.68614,                0.55142,                 1.1235,                0.58371,                   0.58,                0.55793,                0.25489,                 2.0382,                 1.6733,                 2.5731,              0.0009506,              0.0009506,              0.0009506
                    108,                0.67369,                0.52745,                 1.1125,                0.63905,                 0.5525,                0.56967,                 0.2498,                 2.0612,                 1.6678,                  2.607,              0.0009407,              0.0009407,              0.0009407
                    109,                 0.6831,                   0.53,                 1.1201,                0.63032,                 0.5712,                0.57628,                0.24982,                 2.0809,                 1.6973,                 2.6396,              0.0009308,              0.0009308,              0.0009308
                    110,                0.66887,                0.53263,                 1.1104,                0.61783,                   0.58,                0.56982,                0.25139,                  2.077,                 1.6395,                 2.6554,              0.0009209,              0.0009209,              0.0009209
                    111,                0.67365,                0.53666,                 1.1124,                0.61404,                 0.5225,                0.54498,                0.24647,                 2.0637,                 1.7632,                 2.6215,               0.000911,               0.000911,               0.000911
                    112,                0.65741,                0.51731,                 1.1051,                0.59882,                 0.6025,                0.57745,                0.26586,                 2.0459,                 1.7083,                 2.6448,              0.0009011,              0.0009011,              0.0009011
                    113,                0.66374,                0.51462,                 1.1059,                 0.6299,                0.56165,                0.54955,                0.24075,                 2.1037,                 1.7109,                 2.7125,              0.0008912,              0.0008912,              0.0008912
                    114,                0.65499,                0.51502,                 1.1068,                0.62195,                0.55113,                0.54897,                0.24472,                 2.0977,                 1.6094,                 2.7333,              0.0008813,              0.0008813,              0.0008813
                    115,                0.66008,                0.52538,                 1.1139,                 0.5653,                   0.56,                0.55732,                0.25016,                 2.1384,                 1.6016,                 2.7842,              0.0008714,              0.0008714,              0.0008714
                    116,                0.65873,                0.51496,                 1.1092,                0.58104,                0.56514,                0.55122,                0.25394,                 2.0836,                 1.6211,                  2.692,              0.0008615,              0.0008615,              0.0008615
